,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1561,Volunteer Coordinator,47700.00,No,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,10,10,15,64,Female,White,No,PA,103.4,Manager
1562,Reporter,47500.00,No,Radio station,Community/independent nonprofit,San Antonio,Texas,No,3.5,3.5,8,36,Female,White,No,TX,92.7,Reporter
1563,Reporter,47500.00,Yes,Radio station,College/university,Birmingham,Alabama,No,1,1,1,28,Female,Black or African American,Yes,AL,90.7,Reporter
1564,Reporter,47050.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,3,3,3,56,Male,White,Yes,PA,93.1,Reporter
1565,Traffic Coordinator,47000.00,Yes,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,7,7,7,50,Female,Black or African American,No,TX,98.5,Manager
1566,Marketing and Engagement Coordinator,47000.00,Yes,Radio station,Community/independent nonprofit,Colchester,Vermont,No,3,5,5,26,Female,White,Yes,VT,,Marketing
1567,Associate Producer,47000.00,Yes,National network/organization ,,Saint Paul,Minnesota,Yes,4,4.5,4.5,30,Female,White,Yes,MN,,Producer
1568,Grants Coordinator,47000.00,No,Joint licensee,Community/independent nonprofit,Binghamton,New York,No,4,4,4,38,Female,White,No,NY,93.3,Manager
1569,Producer,47000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,3,0.5,4,26,Female,Biracial/Multiracial,Yes,PA,93.1,Producer
1570,Morning Edition Host,47000.00,No,Radio station,College/university,Knoxville,Tennessee,No,1,1,2,31,Female,White,No,TN,91.6,Host
1571,Underwriting Sales Representative ,47000.00,No,Radio station,College/university,Flagstaff,Arizona,No,1,1,1,35,Female,White,No,AZ,108.5,
1572,Staff Photojournalist,47000.00,No,Radio station,College/university,Madison,Wisconsin,No,0.75,0.75,0.75,30,Female,White,No,WI,99.5,Photo Journalist
1573,Production Assistant,46500.00,Yes,TV station,Community/independent nonprofit,Arlington,Virginia,No,1.5,1.5,1.5,25,Male,White,Yes,VA,,
1574,Producer ,46500.00,Yes,TV station,Community/independent nonprofit,Tucson,Arizona,No,1,1,1,40,Female,White,No,AZ,97.7,Producer
1575,Project Manager,46276.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,16.5,16.5,70,Female,White,No,MO,89.6,Manager
1576,Digital Associate Producer,46000.00,Yes,Radio station,,Boston,Massachusetts,No,3,5,5,26,Female,White,No,MA,132.6,Producer
1577,Community Engagement Specialist,46000.00,No,Radio station,Community/independent nonprofit,Indianapolis,Indiana,No,2,2,0,29,Female,White,No,IN,90.2,Specialist
1578,Engagement Editor/Newsletter Editor,45500.00,No,Joint licensee,Community/independent nonprofit,Jacksonville,Florida,No,0,0,3,28,Female,White,No,FL,99,Editor
1579,Associate Producer,45468.80,No,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,Yes,3,8.25,8.25,32,Female,White,No,MN,,Producer
1580,"Music Director/Senior Producer, Music",45000.00,No,Joint licensee,College/university,Lincoln,Nebraska,No,7,20,20,47,Female,White,No,NE,94.7,Producer
1581,Director of Broadcasting,45000.00,Yes,TV station,Community/independent nonprofit,Bunker Hill,Kansas,No,2,17,17,40,Male,White,No,KS,,Director
1582,Sponsorship and Event Coordinator,45000.00,Yes,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,2,8,8,42,Female,White,No,IN,90.2,Manager
1583,Director of Membership,45000.00,Yes,Radio station,College/university,Logan,Utah,Yes,4.5,7,7,28,Female,White,No,UT,95.2,Director
1584,Host and Reporter,45000.00,Yes,Radio station,Community/independent nonprofit,San Antonio,Texas,No,20,7,7,50,Prefer not to say,White,No,TX,92.7,Reporter
1585,"Account Manager, Corporate Sponsorships",45000.00,Yes,Joint licensee,College/university,Houston,Texas,No,4,4,4,39,Female,Hispanic/Latino,No,TX,95.8,Manager
1586,Community Engagement and Outreach Manager,45000.00,Yes,Radio station,Community/independent nonprofit,Milwaukee,Wisconsin,No,4,4,4,34,Female,White,No,WI,93.8,Manager
1587,Regional Reporter,45000.00,Yes,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,2.5,2.5,2.5,29,Female,White,Yes,NC,103.3,Reporter
1588,Assistant Producer,45000.00,No,National network/organization ,,National,,No,2,2,2,24,Female,White,No,,,Producer
1589,Radio Reporter,45000.00,Yes,Joint licensee,College/university,Tucson,Arizona,No,1,1,1,29,Female,,No,AZ,97.7,Reporter
1590,Reporter,45000.00,No,Radio station,Community/independent nonprofit,Anchorage,Alaska,No,1,1,1,31,Male,White,Yes,AK,110.7,Reporter
1591,Reporter,44900.00,No,Joint licensee,College/university,Bloomington,Indiana,No,3,3,9,32,Female,White,No,IN,92.4,Reporter
1592,Membership Coordinator,44720.00,No,Radio station,College/university,Kansas City,Missouri,No,9,9,9,45,Female,White,No,MO,91.6,Manager
1593,Membership Manager,44500.00,No,Radio station,College/university,New Orleans,Louisiana,No,5.5,10,10,38,Female,White,No,LA,92.4,Manager
1594,Multimedia Producer,44000.00,Yes,Radio station,College/university,nan,Texas,No,3,6.5,6.5,35,Male,Biracial/Multiracial,No,TX,,Producer
1595,Development Associate,44880.00,No,Radio station,College/university,Tulsa,Oklahoma,No,5,5,5,33,Female,White,Yes,OK,86.7,
1596,Promotions Producer,43507.00,Yes,Joint licensee,College/university,Tucson,Arizona,No,2,3,3,37,Female,White,No,AZ,97.7,Producer
1597,Reporter/Producer,43500.00,Yes,Joint licensee,Community/independent nonprofit,Anchorage,Alaska,No,2,2,3,27,Female,Black or African American,Yes,AK,110.7,Reporter
1598,Corporate Support Coordinator and Project Associate,43472.00,Yes,TV station,Community/independent nonprofit,nan,New Hampshire,No,3,4,4,39,Female,White,No,NH,,Manager
1599,Reporter,43300.00,No,Radio station,College/university,Des Moines,Iowa,No,3,3,7,28,Female,White,No,IA,91.7,Reporter
1600,Production Assistant,43169.36,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,1,2,3,25,Female,White,Yes,MN,,
1601,Producer,43000.00,Yes,TV station,Community/independent nonprofit,Rochester,New York,No,2,14,14,34,Male,White,No,NY,96.6,Producer
1602,Associate Producer,43000.00,No,Joint licensee,State,Charleston,West Virginia,No,9,9,9,39,Female,White,No,WV,83.9,Producer
1603,Senior Content Coordinator ,43000.00,Yes,TV station,Community/independent nonprofit,Tampa,Florida,No,9,9,9,41,Female,White,No,FL,101.4,Manager
1604,Producer,43000.00,No,Joint licensee,,Rochester,New York,No,5,5,5,26,Female,White,Yes,NY,96.6,Producer
1605,Senior Associate,43000.00,Yes,National network/organization ,,Arlington,Virginia,No,2,5,5,27,Female,White,No,VA,,
1606,Producer,43000.00,No,Radio station,,Concord,New Hampshire,No,1,1,1.5,25,Female,White,No,NH,108.3,Producer
1607,Multiplatform Producer,43000.00,No,TV station,Community/independent nonprofit,Duluth,Minnesota,No,1,1,1,31,Female,Other,Yes,MN,93.2,Producer
1608,Reporter/Producer,42000.00,No,Radio station,College/university,Bowling Green,Kentucky,No,15,6,40,70,Female,White,No,KY,87,Reporter
1609,Music Director,42000.00,No,Joint licensee,Community/independent nonprofit,Binghamton,New York,Yes,23,27,27,67,Male,White,No,NY,93.3,Director
1610,Operations Engineer,42000.00,Yes,TV station,Community/independent nonprofit,Tampa,Florida,Yes,25,25,25,62,Male,White,No,FL,101.4,Engineer
1611,Creative Services/Communications Manager,42000.00,Yes,TV station,Community/independent nonprofit,Fort Wayne,Indiana,No,23,23,23,61,Male,White,No,IN,86.8,Manager
1612,Agriculture Reporter,42000.00,Yes,Radio station,College/university,Urbana,Illinois,No,1,1,7,26,Female,White,No,IL,,Reporter
1613,All Things Considered Host and Reporter,42000.00,No,Joint licensee,College/university,Fort Myers,Florida,No,2,2,4,56,Female,White,Yes,FL,101.5,Reporter
1614,Producer/Director,42000.00,Yes,Joint licensee,Community/independent nonprofit,Winooski,Vermont,Yes,3,4,4,33,Female,White,Yes,VT,,Producer
1615,Reporter,42000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,3.5,3.5,4,32,Female,Biracial/Multiracial,No,PA,93.1,Reporter
1616,Reporter,42000.00,No,Radio station,College/university,Normal,Illinois,No,2,2,4,26,Female,White,Yes,IL,,Reporter
1617,Associate Producer,42000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,3,3.5,3.5,29,Female,White,No,MO,89.6,Producer
1618,Development Assistant,42000.00,Yes,National network/organization ,,Boston,Massachusetts,No,3,3,3,25,Female,White,No,MA,132.6,
1619,"Coordinator, Development Services and Outreach",42000.00,Yes,Joint licensee,College/university,Bowling Green,Kentucky,No,1,1,1,30,Female,White,No,KY,87,Manager
1620,Member Services Associate,42000.00,No,Radio station,Community/independent nonprofit,Baltimore,Maryland,No,1,1,1,51,Female,White,Yes,MD,107,
1621,Membership Data Manager,41600.00,Yes,Radio station,College/university,Kansas City,Missouri,No,0,0,0,38,Female,White,No,MO,91.6,Data Journalist
1622,Production Director,41500.00,Yes,Radio station,Community/independent nonprofit,Spokane,Washington,No,1,3,4,33,Male,White,Yes,WA,100.4,Director
1623,Traffic Manager and Production Assistant,41000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,3,9.5,10.5,34,Female,White,No,PA,93.1,Manager
1624,Development Events and Volunteer Coordinator,40500.00,No,Radio station,College/university,Kansas City,Missouri,No,3,3,3,30,Female,White,No,MO,91.6,Manager
1625,Education Associate,40200.00,Yes,Joint licensee,,Fargo,North Dakota,No,5,5,7,58,Female,White,No,ND,91.4,
1626,Development Associate,40000.00,Yes,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,3,3,4,29,Female,White,No,NC,103.3,
1627,News Editor,40000.00,No,Radio station,College/university,Rock Island,Illinois,No,26,26,28,59,Female,White,Yes,IL,,Editor
1628,"Radio Announcer, Senior",40000.00,No,Joint licensee,College/university,Tucson,Arizona,No,5,5,25,64,Male,White,Yes,AZ,97.7,
1629,Membership Coordinator,40000.00,Yes,Radio station,College/university,Oklahoma City,Oklahoma,No,15,15,15,58,Female,White,No,OK,87.3,Manager
1630,Community Engagement Coordinator,40000.00,No,Radio station,College/university,Wichita,Kansas,No,4,6,6,27,Female,White,No,KS,86.8,Manager
1631,Development Associate,40000.00,No,Radio station,Community/independent nonprofit,Whitesburg,Kentucky,No,0,0,4,24 ,Non-binary / third gender,White,No,KY,,
1632,Anchor/Reporter,40000.00,Yes,Radio station,Community/independent nonprofit,Cookeville,Tennessee,No,0.5,0.5,3,22,Female,White,No,TN,90.9,Reporter
1633,Reporter,40000.00,No,Radio station,College/university,Reno,Nevada,No,1,3,3,23,Non-binary / third gender,White,No,NV,107.4,Reporter
1634,Member Relations Specialist,40000.00,Yes,Joint licensee,College/university,Houston,Texas,No,2,2,2,50,Female,Biracial/Multiracial,Yes,TX,95.8,Specialist
1635,Membership Coordinator,40000.00,Yes,Radio station,Community/independent nonprofit,Honolulu,Hawaii,No,2,2,2,29,Female,Biracial/Multiracial,No,HI,158,Manager
1636,Digital Coordinator,40000.00,No,Radio station,College/university,Oswego,New York,No,1.5,1.5,1.5,40,Female,White,No,NY,,Manager
1637,Manager of Donor Services,40000.00,Yes,TV station,Community/independent nonprofit,Chattanooga,Tennessee,No,1,1,1,28,Female,White,Yes,TN,91.2,Manager
1638,Production Assistant,40000.00,Yes,TV station,State,New York,New York,No,1,1,1,28,Female,White,No,NY,128,
1639,Digital Producer,39750.00,Yes,Joint licensee,College/university,Bloomington,Indiana,No,3,3,4,26,Male,White,No,IN,92.4,Producer
1640,"Associate Director, Content Scheduling",39708.00,Yes,TV station,State,Columbia,South Carolina,No,23,23,23,52,Female,White,No,SC,91.9,Director
1641,Traffic Coordinator,39700.00,No,Joint licensee,College/university,Tucson,Arizona,No,13,16,18,58,Male,White,No,AZ,97.7,Manager
1642,Graphic Designer,39375.00,No,Joint licensee,,Burlington,Vermont,Yes,1,1,1,28,Female,White,No,VT,112.8,Designer
1643,Member Services Manager,39000.00,No,Radio station,Community/independent nonprofit,Grand Rapids,Minnesota,No,14.5,14.5,14.5,39,Female,White,No,MN,,Manager
1644,Membership Director,39000.00,Yes,Radio station,College/university,Murray,Kentucky,No,9,12,12,40,Female,White,No,KY,,Director
1645,Senior Producer,39000.00,Yes,TV station,Community/independent nonprofit,Toledo,Ohio,No,1,3,5,26,Male,White,No,OH,87.5,Producer
1646,Assistant Program Director,39000.00,Yes,Radio station,Community/independent nonprofit,Park City,Utah,No,1,3,3,24,Male,White,No,UT,,Director
1647,Sustainer Program Coordinator,38030.88,Yes,Radio station,College/university,Tampa,Florida,No,5,5,5,28,Female,Black or African American,Yes,FL,101.4,Manager
1648,Reporter,38000.00,No,Radio station,College/university,Albuquerque,New Mexico,No,1,1,4,26,Female,American Indian or Alaska Native,Yes,NM,92.9,Reporter
1649,Membership Assistant,38000.00,No,TV station,College/university,Madison,Wisconsin,No,2.5,3,3,29,Female,White,No,WI,99.5,
1650,"Account Manager, Corporate Sponsorships",37500.00,No,National network/organization ,,Houston,Texas,No,31,6,6,56,Female,White,No,TX,95.8,Manager
1651,Agriculture Reporter,37500.00,No,Radio station,College/university,Oklahoma City,Oklahoma,No,1,1,3,25,Male,White,No,OK,87.3,Reporter
1652,Assistant Producer,37500.00,Yes,Radio station,Community/independent nonprofit,nan,North Carolina,No,2,2,3,27,Male,White,No,NC,,Producer
1653,Development Assistant ,37000.00,No,Radio station,College/university,New Orleans,Louisiana,No,4,5,9,33,Female,White,No,LA,92.4,
1654,Master Control Operator,37000.00,No,TV station,State,Oklahoma City,Oklahoma,No,35,35,35,,Male,White,Yes,OK,87.3,
1655,Member Services Coordinator,37000.00,Yes,Joint licensee,College/university,Bloomington,Indiana,No,3,3,3,44,Female,White,No,IN,92.4,Manager
1656,Membership Director,37000.00,Yes,Radio station,Community/independent nonprofit,Garden City,Kansas,No,2,2,2,58,Female,White,Yes,KS,,Director
1657,"Classical Music Programmer, Host, Producer",36900.00,No,Radio station,College/university,Marquette,Michigan,Yes,4,4,4,34,Male,White,Yes,MI,91.3,Host
1658,Underwriting and Outreach Coordinator,36720.00,No,Radio station,College/university,Macomb,Illinois,No,7,7,7,50,Female,White,No,IL,,Manager
1659,Volunteer Coordinator,36000.00,No,Radio station,College/university,Saint Paul,Minnesota,No,2.5,4.5,4.5,36,Female,White,Yes,MN,,Manager
1660,Associate Producer,36000.00,Yes,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,1,1,2,23,Male,Black or African American,No,OH,87.5,Producer
1661,Membership Coordinator,36000.00,Yes,Joint licensee,Community/independent nonprofit,Vestal,New York,No,1,1,1,60,Female,White,Yes,NY,,Manager
1662,Operations/Program Manager,35000.00,No,Radio station,Community/independent nonprofit,Dover,Delaware,No,4,4,30,63,Male,Black or African American,No,DE,101.3,Manager
1663,Production Manager,35000.00,Yes,TV station,Community/independent nonprofit,Medford,Oregon,No,12,18,18,62,Male,White,No,OR,107.5,Manager
1664,Bureau Chief,35000.00,No,Radio station,Community/independent nonprofit,Albany,New York,No,12,12,12,70,Male,Hispanic/Latino,No,NY,100.1,Editor
1665,Music Director,35000.00,No,Radio station,Community/independent nonprofit,Grand Rapids,Minnesota,No,7,7,7,39,Female,White,No,MN,,Director
1666,Development Director,34989.84,No,Radio station,Community/independent nonprofit,Ketchikan,Alaska,No,7,7,7,41,Male,White,No,AK,,Director
1667,"VP, General Counsel and Corporate Secretary",336000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,11,13,13,58,Male,White,Yes,NY,128,Executive Officer
1668,Customer Service Assistant,33654.00,Yes,Joint licensee,College/university,Lincoln,Nebraska,No,6,7,7,30,Non-binary / third gender,White,No,NE,94.7,
1669,Multimedia Journalist,33000.00,Yes,Radio station,College/university,Tucson,Arizona,No,2,2,3,30,Female,White,No,AZ,97.7,Reporter
1670,"Corporate Support, Underwriting ",32500.00,Yes,Joint licensee,Community/independent nonprofit,Buffalo,New York,No,11,11,11,66,Male,White,Yes,NY,97.3,
1671,President and General Manager,318000.00,No,Radio station,College/university,Seattle,Washington,No,37,7,39,66,Female,Black or African American,No,WA,124.6,Manager
1672,Sustaining Membership Coordinator,31000.00,No,Radio station,College/university,Birmingham,Alabama,No,5,5,5,46,Female,White,No,AL,90.7,Manager
1673,Education and Office Coordinator,31000.00,Yes,TV station,Community/independent nonprofit,Plattsburgh,New York,No,3.5,3.5,3.5,30,Female,White,Yes,NY,93.7,Manager
1674,Corporate Development Representative,30000.00,No,Joint licensee,Community/independent nonprofit,Pittston,Pennsylvania,No,2.5,2.5,10,59,Female,White,No,PA,,
1675,Assistant Operations Manager,27500.00,Yes,Radio station,Community/independent nonprofit,Memphis,Tennessee,No,15,15,17,38,Male,White,No,TN,88.2,Manager
1676,Media Asset Coordinator/Master Control Operator,24960.00,Yes,TV station,Community/independent nonprofit,Medford,Oregon,No,1.6,1.6,2,24,Female,White,No,OR,107.5,Manager
1677,Underwriting Representative,24000.00,Yes,Radio station,Community/independent nonprofit,Monroe,Connecticut,No,3,3,5,67,Male,White,Yes,CT,,
1678,President and CEO,234000.00,Yes,Joint licensee,Community/independent nonprofit,nan,,No,10,10,41,65,Male,White,No,,,Executive Officer
1679,President/General Manager/CEO,232000.00,No,Radio station,Community/independent nonprofit,Cincinnati,Ohio,No,23,23,47,68,Male,White,Yes,OH,92.4,Manager
1680,President and CEO,230000.00,No,Radio station,Community/independent nonprofit,nan,,,,,,,,,,,,Executive Officer
1681,President and CEO,230000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,1,1,8,61,Male,White,Yes,NH,108.3,Executive Officer
1682,General Manager/CEO,226000.00,No,Joint licensee,State,Lincoln,Nebraska,No,8,8,43,64,Male,White,No,NE,94.7,Manager
1683,General Manager,224000.00,No,Joint licensee,College/university,San Diego,California,No,1,18,18,49,Female,White,No,CA,136.2,Manager
1684,Executive Director,217000.00,No,Joint licensee,College/university,Gainesville,Florida,No,11,11,11,57,Male,White,No,FL,97.3,Director
1685,President and CEO,210000.00,No,TV station,Community/independent nonprofit,nan,Ohio,No,1,21,34,58,Female,White,No,OH,,Executive Officer
1686,General Manager,208000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,7,34,43,62,Male,White,No,WA,124.6,Manager
1687,"VP, Content",202000.00,No,National network/organization ,,Boston,Massachusetts,No,3,3,24,52,Male,White,No,MA,132.6,Executive Officer
1688,President and General Manager,195000.00,No,Radio station,Community/independent nonprofit,Honolulu,Hawaii,No,5,5,35,57,Male,Hispanic/Latino,No,HI,158,Manager
