,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1488,Digital Associate Producer,51250.00,No,National network/organization ,,Boston,Massachusetts,No,2,4.5,4.5,29,Female,Hispanic/Latino,No,MA,132.6,Producer
1489,Senior News Producer,51000.00,Yes,Radio station,College/university,La Crosse,Wisconsin,No,30,30,33,55,Male,White,No,WI,91.8,Producer
1490,Development Director,51000.00,Yes,Radio station,Community/independent nonprofit,Tampa,Florida,No,15,15,27,53,Female,White,No,FL,101.4,Director
1491,Manager of Digital Media,51000.00,No,Joint licensee,Community/independent nonprofit,Lewiston,Maine,No,12,22,25,49,Male,White,No,ME,99.7,Manager
1492,Director of Operations and Donor Relations,51000.00,Yes,Radio station,Community/independent nonprofit,Tucson,Arizona,No,3,15,15,56,Female,White,Yes,AZ,97.7,Director
1493,Statehouse Reporter,51000.00,Yes,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,10,6,12,,Male,White,No,KY,91.6,Reporter
1494,Communications Specialist,51000.00,No,Joint licensee,College/university,Fort Myers,,No,3,6,6,,Female,White,No,,,Specialist
1495,Security Specialist,51000.00,No,National network/organization ,,Columbia,South Carolina,No,2,6,6,44,Female,White,No,SC,91.9,Specialist
1496,Associate Producer ,51000.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,Yes,3,4,4.5,25,Female,Black or African American,No,MA,132.6,Producer
1497,Associate Editor,51000.00,No,TV station,State,Madison,Wisconsin,No,2.5,2.5,2.5,32,Male,White,Yes,WI,99.5,Editor
1498,Reporter,51000.00,Yes,Radio station,State,Greeley,Colorado,No,1,1,2.5,22,Male,Other,No,CO,106.1,Reporter
1499,Post Production Producer,50940.00,No,TV station,College/university,Bowling Green,Ohio,No,4,6,6,25,Female,White,Yes,OH,,Producer
1500,Project Operations Coordinator,50938.00,Yes,Radio station,,Kent,Ohio,No,5,7,7,60,Female,White,No,OH,,Manager
1501,Senior Producer/Director,50505.00,Yes,TV station,Community/independent nonprofit,Winooski,Vermont,Yes,6,7,7,34,Male,White,No,VT,,Producer
1502,Program Coordintator,50500.00,No,Radio station,College/university,Seattle,Washington,Yes,24,24,24,63,Female,Black or African American,Yes,WA,124.6,
1503,Morning Edition Host/Managing Editor,50500.00,No,Joint licensee,College/university,Urbana,Illinois,No,5,5,5,44,Male,White,No,IL,,Host
1504,General Assignment Reporter,50500.00,Yes,Joint licensee,College/university,Columbus,Ohio,No,4,4,4,28,Female,Black or African American,Yes,OH,93.9,Reporter
1505,Grants and Foundations Manager/Development Officer,50400.00,No,Radio station,College/university,Salt Lake City,Utah,No,6,13,13,56,Female,White,Yes,UT,105.9,Manager
1506,Senior Producer,50001.00,No,Radio station,College/university,"Cedar Falls, Iowa",Iowa,No,19,19,19,68,Male,White,No,IA,,Producer
1507,Morning Edition Host,50000.00,Yes,Radio station,College/university,Winston-Salem,North Carolina,No,6,6,25,60,Male,White,No,NC,91.2,Host
1508,Membership Services Manager,50000.00,No,Joint licensee,Community/independent nonprofit,Denver,Colorado,No,10,23,23,64,Female,White,Yes,CO,112.1,Manager
1509,Membership Director,50000.00,,Joint licensee,Community/independent nonprofit,Corpus Christi,Texas,No,13,21,21,68,Female,White,No,TX,93.3,Director
1510,"Producer, On-Air Fundraising",50000.00,No,Joint licensee,Community/independent nonprofit,Denver,Colorado,No,1,1,18,43,Female,Biracial/Multiracial,No,CO,112.1,Producer
1511,Reporter,50000.00,Yes,Radio station,College/university,Kansas City,Missouri,No,6,12,16,45,Male,White,Yes,MO,91.6,Reporter
1512,Producer,50000.00,No,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,1.5,10,10,35,Male,White,Yes,OH,90,Producer
1513,Host and Reporter,50000.00,No,Radio station,Community/independent nonprofit,Marfa,Texas,No,0.25,0.25,9,31,Male,White,Yes,TX,,Reporter
1514,"Associate Director, Major Giving",50000.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,4,8,8,34,Female,White,Yes,NY,96.6,Director
1515,Associate Membership Manager,50000.00,Yes,Radio station,College/university,Philadelphia,Pennsylvania,No,2,5,8,39,Female,Black or African American,No,PA,103.4,Manager
1516,Digital Producer,50000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,No,0.7,4,7,31,Female,White,No,MN,,Producer
1517,Immigration Reporter,50000.00,No,Joint licensee,College/university,Houston,Texas,Yes,3,3,6,31,Female,White,No,TX,95.8,Reporter
1518,Producer/Reporter,50000.00,No,Radio station,College/university,Austin,Texas,No,5,5,6,32,Male,White,Yes,TX,106.6,Reporter
1519,Reporter,50000.00,Yes,Radio station,Community/independent nonprofit,Colchester,Vermont,No,3,6,6,29,Male,White,No,VT,,Reporter
1520,Director of Operations,50000.00,No,Radio station,Community/independent nonprofit,Grand Rapids,Minnesota,No,4,5,5,42,Female,White,No,MN,,Director
1521,Major Giving Associate,50000.00,No,Joint licensee,Community/independent nonprofit,"Washington, D.C.",District of Columbia,No,3,5,5,33,Male,White,No,DC,,
1522,Accounting Assistant A/P,50000.00,No,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,4,4,4,52,Female,White,Yes,OH,87.5,
1523,Business Development Specialist,50000.00,Yes,National network/organization ,,Phoenix,Arizona,No,3,4,4,59,Female,White,No,AZ,104.3,Specialist
1524,Editor,50000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,2,2,4,27,Female,White,No,MN,,Editor
1525,Host,50000.00,Yes,Radio station,College/university,Milwaukee,Wisconsin,No,4,4,4,52,Female,White,No,WI,93.8,Host
1526,Programming Associate,50000.00,Yes,Radio station,Community/independent nonprofit,Newark,New York,Yes,1,3,4,52,Female,White,No,NY,,
